ElectrostaticPotential(C1(n25_0000_des)) X,ElectrostaticPotential(C1(n25_0000_des)) Y
-0.0135,0.0003
-0.0132,
-0.0129,
-0.0126,
-0.0123,
-0.012,
-0.0117,
-0.0114,
-0.0111,
-0.0108,
-0.0105,
-0.0102,
-0.0099,
-0.0096,
-0.0093,
-0.009,
-0.0087,
-0.0084,
-0.0081,
-0.0078,
-0.0075,
-0.0072,
-0.0069,
-0.0066,
-0.0063,
-0.006,
-0.0057,
-0.0054,
-0.0051,
-0.0048,
-0.0045,
-0.0045,
-0.0042,
-0.0039,
-0.0036,
-0.0033,
-0.003,
-0.0027,
-0.0024,
-0.0021,
-0.0018,
-0.0015,
-0.0012,
-0.0009,
-0.0006,
-0.0003,
0,
0.0003,
0.0006,
0.0009,
0.0012,
0.0015,
0.0018,
0.0021,
0.0024,
0.0027,
0.003,
0.0033,
0.0036,
0.0039,
0.0042,
0.0045,
0.0045,
0.0048,
0.0051,
0.0054,
0.0057,
0.006,
0.0063,
0.0066,
0.0069,
0.0072,
0.0075,
0.0078,
0.0081,
0.0084,
0.0087,
0.009,
0.0093,
0.0096,
0.0099,
0.0102,
0.0105,
0.0108,
0.0111,
0.0114,
0.0117,
0.012,
0.0123,
0.0126,
0.0129,
0.0132,
0.0135,
